score_phrase,title,score,genre,editors_choice,release_year,release_month,release_day
Amazing,NBA 2K13,9.1,Sports,Y,2012,9,27
Amazing,The World Ends with You: Solo Remix,9.5,RPG,Y,2012,8,27
Okay,Madden NFL 13,6.0,Sports,N,2012,8,24
Painful,Hoodwink,2.5,Adventure,N,2012,8,23
Good,Lili: Child of Geos,7.0,Adventure,N,2012,9,26
Great,Marvel vs. Capcom Origins,8.2,Fighting,N,2012,9,26
Great,Dead or Alive 5,8.8,Fighting,N,2012,9,25
Bad,Medal of Honor Warfighter,4.0,Shooter,N,2012,10,26
Great,Professor Layton and the Miracle Mask,8.7,Adventure,Y,2012,10,26
Great,Hotline Miami,8.8,Action,Y,2012,10,26
Okay,Edna & Harvey: Harvey's New Eyes,6.0,Adventure,N,2012,10,26
Great,Transformers: Fall of Cybertron,8.5,Shooter,N,2012,8,21
Amazing,Hero Academy,9.0,Board,Y,2012,8,20
Amazing,Puzzle Craft,9.0,Puzzle,Y,2012,8,17
Mediocre,Realms Of Ancient War,5.5,Action,N,2012,9,24
Great,Anomaly: Warzone Earth,8.2,Action,N,2012,9,23
Good,Darksiders II,7.5,Action,N,2012,8,17
Good,Left 4 Dead 2: Cold Stream,7.0,Shooter,N,2012,8,17
Amazing,Horn,9.0,"Action, Adventure",Y,2012,8,16
Amazing,Forza Horizon,9.0,Racing,Y,2012,10,12
Bad,FIFA Soccer 13,4.0,Sports,N,2012,10,12
Awful,Mugen Souls,3.9,"Strategy, RPG",N,2012,10,12
Good,Crazy Taxi,7.1,"Racing, Action",N,2012,10,11
Mediocre,New Little King's Story,5.8,RPG,N,2012,10,11
Good,Fable: The Journey,7.2,"Action, RPG",N,2012,10,9
Great,The Lord of the Rings Online: Riders of Rohan,8.3,RPG,N,2012,10,26
Good,Doom 3: BFG Edition,7.6,RPG,N,2012,10,25
Okay,Rugby League Live 2,6.0,Sports,N,2012,10,25
Amazing,Punch Quest,9.3,Action,Y,2012,10,25
Okay,He-Man: The Most Powerful Game in the Universe,6.8,Action,N,2012,10,25
Great,Dokuro,8.8,Puzzle,N,2012,10,19
Painful,Naughty Bear: Panic in Paradise,2.3,Action,N,2012,10,18
Good,Borderlands 2: Captain Scarlett and her Pirate's Booty,7.5,"Shooter, RPG",N,2012,10,18
Great,Skylanders Giants,8.0,"Action, Adventure",N,2012,10,18
Great,Rayman: Jungle Run,8.8,Platformer,N,2012,9,20
Amazing,Torchlight II,9.1,"Action, RPG",Y,2012,9,20
Bad,The Sims 3: Supernatural,4.5,Simulation,N,2012,9,19
Good,Retro/Grade,7.0,,N,2012,8,15
Amazing,Iron Brigade,9.0,Action,Y,2012,8,15
Okay,Cafeteria Nipponica,6.0,Simulation,N,2012,8,15
Great,Sleeping Dogs,8.5,Action,N,2012,8,14
Bad,Papo & Yo,4.0,Adventure,N,2012,8,14
Good,The Walking Dead: The Game -- Episode 4: Around Every Corner,7.5,Adventure,N,2012,10,9
Mediocre,Cortex Command,5.0,"Action, Simulation",N,2012,10,9
Good,Derrick the Deathfin,7.4,Action,N,2012,10,9
Great,XCOM: Enemy Unknown,8.2,Strategy,N,2012,10,8
Okay,Silent Hill: Book of Memories,6.0,Adventure,N,2012,10,24
Good,Diaspora: Shattered Armistice,7.4,"Flight, Action",N,2012,10,24
Okay,Pocket Clothier,6.6,Strategy,N,2012,10,24
Okay,Ravaged,6.7,Shooter,N,2012,10,23
Okay,True Skate,6.7,Sports,N,2012,10,23
Amazing,Zero Escape: Virtue's Last Reward,9.5,Adventure,Y,2012,10,23
Great,Devil's Attorney,8.3,Strategy,N,2012,10,17
Okay,Code of Princess,6.9,"Action, RPG",N,2012,10,17
Great,SunFlowers,8.0,Puzzle,N,2012,10,17
Bad,007 Legends,4.5,Action,N,2012,10,16
Amazing,Super Hexagon,9.0,Action,N,2012,9,19
Great,Machinarium,8.0,Adventure,N,2012,9,18
Great,Final Fantasy Dimensions,8.0,RPG,N,2012,9,18
Great,They Bleed Pixels,8.2,Platformer,N,2012,9,18
Good,Jet Set Radio,7.5,Action,N,2012,9,17
Great,Pro Evolution Soccer 2013,8.5,Sports,Y,2012,9,17
Amazing,F1 2012,9.0,Racing,Y,2012,9,17
Good,Pitfall,7.0,Platformer,N,2012,8,13
Great,Dust: An Elysian Tail,8.5,Platformer,N,2012,8,13
Great,Hybrid,8.0,Shooter,N,2012,8,13
Mediocre,The Dark Knight Rises,5.5,Action,N,2012,8,10
Good,10000000,7.5,,N,2012,8,9
Okay,The Political Machine 2012,6.5,Strategy,N,2012,8,9
Amazing,Sound Shapes,9.0,Platformer,Y,2012,8,8
Okay,One Piece: Pirate Warriors,6.0,Action,N,2012,10,8
Amazing,Dishonored,9.2,Action,Y,2012,10,7
Good,Angry Birds Trilogy,7.0,"Puzzle, Action",N,2012,10,6
Great,Girls Like Robots,8.5,Puzzle,N,2012,10,19
Bad,Happy Wars,4.0,Action,N,2012,10,19
Amazing,Funky Smugglers,9.0,Action,Y,2012,10,16
Okay,Colour Bind,6.2,,N,2012,10,15
Mediocre,WRC 3 FIA World Rally Championship,5.0,Racing,N,2012,10,15
Mediocre,Retro City Rampage,5.3,"Action, Adventure",N,2012,10,15
Great,Dance Central 3,8.0,Music,N,2012,10,15
Mediocre,Snapshot,5.0,Platformer,N,2012,9,17
Amazing,Borderlands 2,9.0,"Shooter, RPG",Y,2012,9,13
Great,Joe Danger: The Movie,8.0,Action,N,2012,9,13
Amazing,Persona 4 Arena,9.0,Fighting,Y,2012,8,7
Amazing,The Unfinished Swan,9.0,Puzzle,Y,2012,10,14
Great,Tokyo Jungle,8.0,Adventure,N,2012,9,13
Amazing,Halo 4,9.8,Shooter,Y,2012,11,1
Amazing,Halo 4 (Limited Edition),9.8,Shooter,Y,2012,11,1
Good,Zone of the Enders HD Collection,7.0,"Action, Compilation",N,2012,11,1
Great,Harvest Moon: A New Beginning,8.3,Adventure,N,2012,11,1
Okay,Borderlands Legends,6.5,"Action, RPG",N,2012,10,31
Amazing,Okami HD,9.4,Adventure,Y,2012,10,30
Mediocre,Ragnarok Odyssey,5.0,RPG,N,2012,10,30
Okay,Need for Speed Most Wanted,6.9,"Racing, Action",N,2012,10,30
Good,Pid,7.8,Platformer,N,2012,10,30
Great,Assassin's Creed III,8.5,"Action, Adventure",N,2012,10,30
Good,Assassin's Creed III: Liberation,7.2,Action,N,2012,10,30
Great,Smart As...,8.5,"Educational, Puzzle",N,2012,10,30
Great,WWE '13,8.4,Wrestling,N,2012,10,29
Okay,Street Fighter x Tekken,6.6,Fighting,N,2012,10,29
Good,Chivalry: Medieval Warfare,7.9,Adventure,N,2012,10,29
Good,Sonic Jump,7.5,Platformer,N,2012,10,29
Mediocre,F1 Race Stars,5.2,Racing,N,2012,11,13
Amazing,Call of Duty: Black Ops II,9.3,Shooter,Y,2012,11,13
Mediocre,Midway Arcade Origins,5.5,"Action, Compilation",N,2012,11,13
Okay,When Vikings Attack,6.5,"Fighting, Action",N,2012,11,9
Mediocre,"Freakyforms Deluxe: Your Creations, Alive!",5.0,Productivity,N,2012,11,8
Mediocre,Painkiller: Hell & Damnation,5.0,Shooter,N,2012,11,7
Great,Transformers Prime,8.0,Action,N,2012,11,7
Great,Angry Birds Star Wars,8.8,Puzzle,N,2012,11,7
Good,Farming Simulator 2013,7.1,Simulation,N,2012,11,7
Great,Paper Mario: Sticker Star,8.3,RPG,N,2012,11,6
Okay,Lucius,6.0,Adventure,N,2012,11,6
Mediocre,LittleBigPlanet Karting,5.0,Racing,N,2012,11,6
Good,Primal Carnage,7.6,Shooter,N,2012,11,5
Great,Natural Selection 2,8.0,Shooter,N,2012,11,5
Okay,Symphonica: Grand Maestro,6.0,Music,N,2012,11,5
Amazing,Football Manager 2013,9.0,"Sports, Simulation",Y,2012,11,3
Amazing,The Walking Dead: The Game -- Episode 5: No Time Left,9.5,Adventure,Y,2012,11,19
Bad,Orgarhythm,4.7,"Music, Action",N,2012,11,2
Good,Sports Champions 2,7.6,"Sports, Action",N,2012,11,2
Great,Kinect Party,8.5,Party,N,2012,12,20
Good,Sky Gamblers: Storm Raiders,7.1,Action,N,2012,12,19
Good,Oddworld: Stranger's Wrath HD,7.5,"Action, Adventure",N,2012,12,19
Good,AirBuccaneers,7.5,Action,N,2012,12,19
Great,Theatrhythm Final Fantasy,8.0,"Music, Action",N,2012,12,19
Okay,Sing Party,6.3,Music,N,2012,12,18
Okay,Beatdown!,6.3,"Fighting, Action",N,2012,11,19
Okay,Waking Mars,6.5,Action,N,2012,11,19
Amazing,Hitman: Absolution,9.0,Action,Y,2012,11,18
Okay,ZombiU,6.3,Shooter,N,2012,11,18
Good,Grand Theft Auto: Vice City,7.7,"Action, Adventure",N,2012,12,18
Good,Street Fighter X Mega Man,7.0,Action,N,2012,12,18
Good,Sonic & All-Stars Racing Transformed,7.0,"Racing, Action",N,2012,12,17
Good,The Sims 3: Seasons,7.5,Simulation,N,2012,12,17
Mediocre,Tank! Tank! Tank!,5.8,Action,N,2012,12,14
Good,Guardians of Middle-earth,7.5,Battle,N,2012,12,14
Okay,Ratchet & Clank: Full Frontal Assault,6.4,Action,N,2012,12,14
Bad,Page Chronica,4.1,Puzzle,N,2012,12,14
Amazing,Batman: Arkham City -- Armored Edition,9.5,Action,Y,2012,11,17
Okay,Disney Epic Mickey 2: The Power of Two,6.0,"Action, Adventure",N,2012,11,17
Great,Scribblenauts Unlimited,8.8,"Puzzle, Action",Y,2012,11,16
Bad,Call of Duty: Black Ops Declassified,4.0,Shooter,N,2012,11,16
Good,Fallen Enchantress,7.9,Strategy,N,2012,11,16
Good,Guns of Icarus Online,7.3,Shooter,N,2012,11,16
Mediocre,Miner Wars 2081,5.0,Shooter,N,2012,12,14
Great,The Elder Scrolls V: Skyrim -- Dragonborn,8.8,RPG,N,2012,12,13
Okay,Baldur's Gate -- Enhanced Edition,6.0,RPG,N,2012,12,13
Okay,Black Knight Sword,6.9,"Puzzle, Adventure",N,2012,12,13
Amazing,The Walking Dead: A Telltale Game Series -- Season One,9.3,Adventure,Y,2012,12,12
Amazing,New Super Mario Bros. U,9.1,Platformer,Y,2012,11,15
Great,Nintendo Land,8.7,Party,Y,2012,11,15
Good,ARC Squadron,7.3,"Flight, Action",N,2012,11,13
Good,Ninja Gaiden III: Razor's Edge,7.6,Action,N,2012,11,13
Amazing,The Walking Dead -- Game of the Year Edition,9.3,Adventure,Y,2012,12,12
Good,Real Boxing,7.6,Sports,N,2012,11,30
Amazing,Crashmo,9.5,"Puzzle, Action",Y,2012,11,30
Amazing,PlanetSide 2,9.0,Shooter,Y,2012,11,30
Good,Strike Suit Zero,7.5,Shooter,N,2013,1,22
Painful,Final Fantasy: All The Bravest,2.5,RPG,N,2013,1,18
Good,Tokyo Crash Mobs,7.7,"Puzzle, Action",N,2013,1,18
Amazing,Ni no Kuni: Wrath of the White Witch,9.4,RPG,Y,2013,1,15
Mediocre,Marvel's The Avengers: Battle For Earth,5.0,Action,N,2013,1,15
Okay,Borderlands 2: Sir Hammerlock's Big Game Hunt,6.9,"Shooter, RPG",N,2013,1,15
Okay,Chasing Aurora,6.0,Action,N,2012,11,22
Great,Adventure Time: Hey Ice King! Why'd You Steal Our Garbage?,8.5,Adventure,Y,2012,11,22
Good,Warriors Orochi 3 Hyper,7.0,Action,N,2012,11,29
Okay,Skylanders Battlegrounds,6.6,Action,N,2012,11,28
Good,Rage of the Gladiator,7.6,Action,N,2012,11,28
Okay,Family Guy: Back to the Multiverse,6.0,Adventure,N,2012,11,27
Mediocre,Little Inferno,5.0,Puzzle,N,2012,11,27
Amazing,Minigore 2: Zombies,9.1,Shooter,Y,2012,12,12
Good,Forge,7.0,Shooter,N,2012,12,12
Okay,Nancy Drew: The Deadly Device,6.8,Adventure,N,2012,12,11
Good,Into the Dead,7.0,Action,N,2012,12,10
Mediocre,Just Dance 4,5.3,Music,N,2012,12,10
Great,DmC: Devil May Cry,8.9,Action,Y,2013,1,14
Great,Unchained Blades,8.0,RPG,N,2013,1,14
Good,The Earth Defense Force 2017 Portable,7.5,Action,N,2013,1,14
Mediocre,Wraithborne,5.2,Action,N,2012,11,21
Amazing,Persona 4 Golden,9.3,RPG,Y,2012,11,21
Mediocre,Rabbids Land,5.0,Party,N,2012,11,21
Good,Tekken Tag Tournament 2: Wii U Edition,7.5,Fighting,N,2012,11,21
Amazing,Far Cry 3,9.0,Shooter,Y,2012,11,21
Great,Little Chomp,8.0,Action,N,2012,11,26
Amazing,Trine 2: Director's Cut,9.0,Action,Y,2012,11,26
Awful,LEGO The Lord of the Rings [Portable],3.8,"Action, Adventure",N,2012,11,26
Okay,LEGO The Lord of the Rings,6.8,"Action, Adventure",N,2012,11,26
Great,Writer Rumble,8.2,"Puzzle, Word Game",N,2012,12,10
Amazing,Mass Effect,9.0,RPG,Y,2012,12,10
Great,Guilty Gear XX Accent Core Plus,8.3,Fighting,N,2012,12,7
Good,Uncharted: Fight For Fortune,7.0,"Card, Battle",N,2012,12,6
Good,Modern Combat 4: Zero Hour,7.8,Shooter,N,2012,12,6
Okay,Wonderbook: Book  of Spells,6.0,"Simulation, Adventure",N,2012,12,6
Great,Rift: Storm Legion,8.3,RPG,N,2012,12,4
Amazing,Joe Danger,9.1,Action,Y,2013,1,14
Mediocre,Anarchy Reigns,5.9,Action,N,2013,1,11
Great,Kentucky Route Zero: Act 1,8.3,Adventure,N,2013,1,11
Okay,Primordia,6.8,Adventure,N,2013,1,11
Amazing,Mutant Mudds,9.1,Platformer,Y,2013,1,10
Amazing,Mass Effect 3 (Special Edition),9.5,RPG,N,2012,11,21
Amazing,Nano Assault Neo,9.0,Shooter,Y,2012,11,20
Good,Disney Epic Mickey: Power of Illusion,7.0,"Action, Adventure",N,2012,11,20
Amazing,Borderlands 2: Mr. Torgue's Campaign of Carnage,9.2,"Shooter, RPG",Y,2012,11,20
Great,PlayStation All-Stars Battle Royale,8.0,Fighting,N,2012,11,20
Good,Jetpack Joyride,7.4,Platformer,N,2012,11,26
Good,The Walking Dead: Assault,7.5,Adventure,N,2012,12,4
Good,Miasmata,7.9,Adventure,N,2012,12,4
Good,Bladeslinger: Episode 1,7.2,Action,N,2012,12,3
Mediocre,Funky Barn,5.0,Simulation,N,2012,12,3
Awful,ESPN Sports Connection,3.0,Sports,N,2012,12,3
Awful,Infestation: Survivor Stories,3.0,Action,N,2013,1,8
Good,Labyrinth Legends,7.7,RPG,N,2013,1,7
Mediocre,Ace of Spades,5.9,Shooter,N,2013,1,4
Good,Monsters Inc. Run,7.7,Action,N,2013,1,3
Good,Pudding Monsters,7.3,"Puzzle, Adventure",N,2012,12,20
Mediocre,NFL Quarterback Club '97,5.0,Sports,N,1996,11,25
Okay,Namco Museum Vol. 2,6.0,"Action, Compilation",N,1996,11,25
Awful,Raven Project,3.0,Action,N,1996,11,25
Okay,Silverload,6.0,Adventure,N,1996,11,25
Good,Return Fire,7.0,Action,N,1996,11,25
Painful,Rise 2: Resurrection,2.0,Fighting,N,1996,11,25
Okay,Robo Pit,6.5,Fighting,N,1996,11,25
Okay,NBA ShootOut,6.0,Sports,N,1996,11,25
Bad,Beyond The Beyond,4.0,RPG,N,1996,11,21
Good,Crash Bandicoot,7.5,Platformer,N,1996,11,21
Great,Bust-A-Move 2: Arcade Edition,8.0,Puzzle,N,1996,11,21
Mediocre,CyberSpeed,5.0,Racing,N,1996,11,21
Good,D,7.0,Adventure,N,1996,11,21
Okay,Assault Rigs,6.0,Action,N,1996,11,21
Mediocre,ESPN Extreme Games,5.0,Sports,N,1996,11,21
Good,Doom (1993),7.0,Shooter,N,1996,11,21
Great,Bottom of the 9th,8.0,Sports,N,1996,11,21
Good,Adidas Power Soccer,7.0,Sports,N,1996,11,21
Painful,Agile Warrior F-111X,2.0,Action,N,1996,11,21
Great,Alien Trilogy,8.0,Action,N,1996,11,21
Okay,Alone in the Dark: One Eyed Jack's Revenge,6.0,Adventure,N,1996,11,21
Good,Fade to Black,7.0,Adventure,N,1996,11,21
Good,Die Hard Trilogy,7.5,Action,N,1996,11,21
Good,Discworld,7.0,Adventure,N,1996,11,21
Okay,Battle Arena Toshinden 2,6.0,Fighting,N,1996,11,21
Okay,A-Train,6.0,Strategy,N,1996,11,21
Bad,Casper -- A Haunting 3D Challenge,4.0,Action,N,1996,11,21
Okay,Bogey Dead 6,6.0,"Flight, Action",N,1996,11,21
Great,Namco Museum Vol. 1,8.0,"Action, Compilation",N,1996,11,25
Good,Road & Track Presents: The Need for Speed,7.0,Racing,N,1996,11,25
Okay,Romance of the Three Kingdoms IV: Wall of Fire,6.0,Strategy,N,1996,11,25
Good,PGA Tour '96,7.0,Sports,N,1996,11,25
Good,Rayman,7.0,Platformer,N,1996,11,25
Okay,Raiden Project,6.0,Shooter,N,1996,11,25
Great,Andretti Racing,8.0,Racing,N,1996,11,21
Awful,Gunship,3.0,Simulation,N,1996,11,25
Okay,Olympic Summer Games: Atlanta '96,6.0,Sports,N,1996,11,25
Unbearable,Revolution X,1.0,Action,N,1996,11,25
Bad,Shockwave Assault,4.0,Action,N,1996,11,25
Bad,HardBall 5,4.0,Sports,N,1996,11,25
Good,Twisted Metal [1996],7.0,Action,N,1996,11,26
Amazing,WipEout XL,9.0,Racing,Y,1996,11,26
Great,WipEout,8.0,Racing,N,1996,11,26
Great,Tobal No. 1,8.7,Fighting,Y,1996,11,26
Great,Star Gladiator Episode 1: Final Crusade,8.0,Fighting,N,1996,11,26
Good,Starfighter,7.0,Action,N,1996,11,26
Good,Battle Arena Toshinden,7.0,Fighting,N,1996,11,21
Good,Destruction Derby,7.0,"Racing, Action",N,1996,11,21
Great,Aquanaut's Holiday,8.0,Simulation,N,1996,11,21
Painful,Creature Shock (Special Edition),2.0,Action,N,1996,11,21
Good,Air Combat,7.0,"Flight, Action",N,1996,11,21
Good,Descent,7.0,Action,N,1996,11,21
Mediocre,Cyber Sled,5.0,Action,N,1996,11,21
Good,DEFCON 5,7.0,Action,N,1996,11,21
Mediocre,The King of Fighters '95,5.0,Fighting,N,1996,11,25
Great,Jumping Flash! 2,8.0,Platformer,N,1996,11,25
Bad,Epidemic,4.0,Action,N,1996,11,25
Mediocre,Philosoma,5.0,Action,N,1996,11,25
Mediocre,NBA In the Zone,5.0,Sports,N,1996,11,25
Good,Magic Carpet,7.5,Action,N,1996,11,25
Painful,Power Serve 3D Tennis,2.0,Sports,N,1996,11,25
Great,Resident Evil [1996],8.7,"Action, Adventure",N,1996,11,25
Okay,NCAA GameBreaker,6.8,Sports,N,1996,11,25
Okay,Project: Horned Owl,6.0,Shooter,N,1996,11,25
Okay,Frank Thomas: Big Hurt Baseball,6.0,Sports,N,1996,11,25
Good,Goal Storm,7.0,Sports,N,1996,11,25
Awful,In the Hunt,3.0,Action,N,1996,11,25
Good,International Track & Field,7.0,Sports,N,1996,11,25
Painful,Novastorm,2.0,Shooter,N,1996,11,25
Great,PO'ed,8.0,Action,N,1996,11,25
Okay,NBA Jam: Tournament Edition,6.5,Sports,N,1996,11,25
Good,WWF Wrestlemania: The Arcade Game,7.0,Wrestling,N,1996,11,26
Good,Williams Arcade's Greatest Hits,7.0,Compilation,N,1996,11,26
Okay,Tetris Plus,6.0,Puzzle,N,1996,11,26
Mediocre,Slam 'n Jam '96: Featuring Magic and Kareem,5.0,Sports,N,1996,11,26
Bad,V-Tennis,4.0,Sports,N,1996,11,26
Good,Tokyo Highway Battle,7.0,Racing,N,1996,11,26
Mediocre,Zero Divide,5.0,Fighting,N,1996,11,26
Amazing,X-COM: UFO Defense,9.0,Strategy,Y,1996,11,26
Okay,Darkstalkers: The Night Warriors,6.5,Fighting,N,1996,11,21
Good,FIFA Soccer '96,7.8,Sports,N,1996,11,21
Bad,Mortal Kombat Trilogy,4.1,Fighting,N,1996,11,20
Amazing,Wave Race 64,9.7,Racing,Y,1996,11,15
Mediocre,Battle Arena Toshinden Remix,5.0,Fighting,N,1996,11,15
Bad,Cruis'n USA,4.0,Racing,N,1996,11,14
Mediocre,Batman Forever: The Arcade Game,5.0,Action,N,1996,11,2
Great,Pilotwings 64,8.2,Flight,N,1996,9,25
Mediocre,Road Rash,5.0,"Racing, Action",N,1996,11,25
Good,Ridge Racer [1995],7.5,Racing,N,1996,11,25
Good,Shellshock,7.0,Action,N,1996,11,25
Good,SimCity 2000,7.0,Strategy,N,1996,11,25
Good,Street Fighter Alpha: Warriors' Dreams,7.0,Fighting,N,1996,11,25
Awful,The Hive,3.0,Action,N,1996,11,25
Good,Loaded,7.5,Shooter,N,1996,11,25
Good,NBA Live '96,7.0,Sports,N,1996,11,25
Painful,Psychic Detective,2.0,Adventure,N,1996,11,25
Amazing,NHL FaceOff,9.0,Sports,N,1996,11,25
Great,NFL GameDay,8.0,Sports,N,1996,11,25
Awful,Kileak: The DNA Imperative,3.0,Action,N,1996,11,25
Great,Formula 1,8.0,Racing,N,1996,11,25
Great,Worms,8.0,Strategy,N,1996,11,26
Mediocre,Zoop,5.0,Puzzle,N,1996,11,26
Painful,Space Griffon,2.0,Action,N,1996,11,26
Amazing,Tekken 2,9.0,Fighting,Y,1996,11,26
Great,Warhawk,8.7,"Flight, Action",N,1996,11,26
Bad,Advanced Dungeons & Dragons: Iron & Blood -- Warriors of Ravenloft,4.0,Fighting,N,1996,11,25
Amazing,Super Mario 64,9.8,Platformer,Y,1996,9,25
Good,Baku Baku,7.0,Puzzle,N,1996,6,18
Great,The Walking Dead: The Game -- Episode 1: A New Day,8.5,Adventure,N,1970,1,1
Okay,Olympic Soccer,6.0,Sports,N,1996,11,25
Bad,Off-World Interceptor Extreme,4.0,Action,N,1996,11,25
Okay,Gex,6.0,Platformer,N,1996,11,25
Mediocre,Skeleton Warriors,5.0,Action,N,1996,11,25
Mediocre,Johnny Bazookatone,5.0,Platformer,N,1996,11,25
Great,Mario Kart 64,8.1,"Racing, Action",Y,1997,2,20
Good,Rally Cross,7.0,Racing,N,1997,2,20
Okay,Spider,6.0,Action,N,1997,2,14
Okay,Grid Runner,6.0,Action,N,1997,2,10
Good,Virtual Pool,7.0,Sports,N,1997,2,10
Great,Pro-Pinball,8.0,Pinball,N,1997,2,5
Good,Deception: Invitation to Darkness,7.0,Strategy,N,1997,2,3
Good,Peak Performance,7.0,Racing,N,1997,4,29
Painful,Independence Day,2.0,Action,N,1997,4,23
Okay,Buster Bros. Collection,6.0,Action,N,1997,4,21
Bad,Re-Loaded: The Hardcore Sequel,4.0,Shooter,N,1996,12,24
Good,Destruction Derby 2,7.2,Racing,N,1996,12,23
Great,Blood Omen: Legacy of Kain,8.5,"Action, RPG",Y,1997,1,31
Okay,Tunnel B-1,6.0,Action,N,1997,1,30
Good,Doom 64,7.4,Shooter,N,1997,1,28
Great,NHL FaceOff '97,8.0,Sports,N,1997,1,28
Amazing,Super Puzzle Fighter II Turbo,9.0,"Puzzle, Action",Y,1997,1,27
Mediocre,NBA Hang Time,5.4,Sports,N,1997,1,27
Amazing,Suikoden,9.0,RPG,N,1997,1,22
Okay,Battle Stations,6.0,Strategy,N,1997,4,16
Great,Nanotek Warrior,8.0,Action,N,1997,4,14
Okay,Rush Hour,6.0,Racing,N,1997,4,14
Good,BRAHMA Force: The Assault On Beltlogger 9,7.0,Action,N,1997,4,10
Great,Vandal Hearts,8.0,RPG,N,1997,4,9
Great,MechWarrior 2,8.0,Simulation,N,1997,4,8
Good,VR Baseball '97,7.0,Sports,N,1997,4,7
Okay,Need for Speed II,6.0,Racing,N,1997,4,3
Okay,Samurai Shodown III: Blades of Blood,6.5,Fighting,N,1996,12,20
Mediocre,Pitball,5.0,Action,N,1996,12,18
Mediocre,MLB Pennant Race,5.0,Sports,N,1996,12,17
Great,Tempest X3: An Inter-Galactic Battle Zone,8.0,Action,N,1996,12,17
Mediocre,Project Overkill,5.0,Action,N,1997,1,21
Good,Crusader: No Remorse,7.0,Action,N,1997,1,21
Great,VR Golf '97,8.0,Sports,N,1997,1,20
Awful,Iron Man / XO Manowar in Heavy Metal,3.0,Action,N,1997,1,15
Great,Disruptor,8.0,Shooter,N,1997,1,13
Good,Final Doom,7.0,Action,N,1997,1,7
Good,Twisted Metal 2,7.3,Action,N,1997,1,7
Good,NFL GameDay 97,7.8,Sports,N,1997,1,6
Great,Jet Moto,8.0,Racing,N,1997,1,3
Bad,FIFA Soccer 64,4.2,Sports,N,1997,4,1
Great,Command & Conquer (1997),8.0,Strategy,N,1997,3,31
Okay,Mega Man 8,6.0,Action,N,1997,3,31
Okay,Big Bass World Championship,6.0,Hunting,N,1997,3,27
Amazing,Blast Corps,9.0,Action,Y,1997,3,26
Great,NBA Live '97,8.0,Sports,N,1997,3,21
Amazing,NBA ShootOut '97,9.0,Sports,Y,1997,3,18
Great,Turok: Dinosaur Hunter,8.6,Shooter,N,1997,3,11
Unbearable,The Crow: City of Angels,1.0,Action,N,1997,3,11
Mediocre,Star Wars: Dark Forces,5.0,Action,N,1996,12,13
Amazing,Tomb Raider -- Featuring Lara Croft,9.3,Adventure,N,1996,12,13
Okay,Pandemonium,6.6,Platformer,N,1996,12,13
Good,Cool Boarders,7.0,Sports,N,1996,12,13
Amazing,NBA In the Zone 2,9.0,Sports,N,1996,12,12
Great,Street Fighter Alpha 2,8.5,Fighting,N,1996,12,11
Bad,TNN Motorsports Hardcore 4X4,4.0,Racing,N,1997,1,3
